DATE,SP500
31-Oct-23,4411.55
30-Sep-23,4193.8
31-Aug-23,4288.05
31-Jul-23,4507.66
30-Jun-23,4588.96
31-May-23,4450.38
30-Apr-23,4179.83
31-Mar-23,4169.48
1-Mar-23,4109.31
1-Feb-23,3970.15
1-Jan-23,4076.6
1-Dec-22,3839.5
31-Oct-22,4080.11
30-Sep-22,3871.98
31-Aug-22,3585.62
31-Jul-22,3955
30-Jun-22,4130.29
31-May-22,3785.38
30-Apr-22,4132.15
31-Mar-22,4131.93
1-Mar-22,4530.41
1-Feb-22,4373.94
1-Jan-22,4515.55
1-Dec-21,4766.18
31-Oct-21,4567
30-Sep-21,4605.38
31-Aug-21,4307.54
31-Jul-21,4522.68
30-Jun-21,4395.26
31-May-21,4297.5
30-Apr-21,4204.11
31-Mar-21,4181.17
1-Mar-21,3972.89
1-Feb-21,3811.15
1-Jan-21,3714.24
1-Dec-20,3756.07
31-Oct-20,3621.63
30-Sep-20,3269.96
31-Aug-20,3363
31-Jul-20,3500.31
30-Jun-20,3271.12
31-May-20,3100.29
30-Apr-20,3044.31
31-Mar-20,2912.43
1-Mar-20,2584.59
1-Feb-20,2954.22
1-Jan-20,3225.52
1-Dec-19,3230.78
31-Oct-19,3140.98
30-Sep-19,3037.56
31-Aug-19,2976.74
31-Jul-19,2926.46
30-Jun-19,2980.38
31-May-19,2941.76
30-Apr-19,2752.06
31-Mar-19,2945.83
1-Mar-19,2834.4
1-Feb-19,2784.49
1-Jan-19,2704.1
1-Dec-18,2506.85
31-Oct-18,2760.17
30-Sep-18,2711.74
31-Aug-18,2913.98
31-Jul-18,2901.52
30-Jun-18,2816.29
31-May-18,2718.37
30-Apr-18,2705.27
31-Mar-18,2648.05
1-Mar-18,2640.87
1-Feb-18,2713.83
1-Jan-18,2823.81
1-Dec-17,2673.61
31-Oct-17,2647.58
30-Sep-17,2575.26
31-Aug-17,2519.36
31-Jul-17,2471.65
30-Jun-17,2470.3
31-May-17,2423.41
30-Apr-17,2411.8
31-Mar-17,2384.2
1-Mar-17,2362.72
1-Feb-17,2363.64
1-Jan-17,2278.87
1-Dec-16,2238.83
31-Oct-16,2198.81
30-Sep-16,2126.15
31-Aug-16,2168.27
31-Jul-16,2170.95
30-Jun-16,2173.6
31-May-16,2098.86
30-Apr-16,2096.95
31-Mar-16,2065.3
1-Mar-16,2059.74
1-Feb-16,1932.23
1-Jan-16,1940.24
1-Dec-15,2043.94
31-Oct-15,2080.41
30-Sep-15,2079.36
31-Aug-15,1920.03
31-Jul-15,1972.18
30-Jun-15,2103.84
31-May-15,2063.11
30-Apr-15,2107.39
31-Mar-15,2085.51
1-Mar-15,2067.89
1-Feb-15,2104.5
1-Jan-15,1994.99
1-Dec-14,2058.9
31-Oct-14,2067.56
30-Sep-14,2018.05
31-Aug-14,1972.29
31-Jul-14,2003.37
30-Jun-14,1930.67
31-May-14,1960.23
30-Apr-14,1923.57
31-Mar-14,1883.95
1-Mar-14,1872.34
1-Feb-14,1859.45
1-Jan-14,1782.59
1-Dec-13,1848.36
31-Oct-13,1805.81
30-Sep-13,1756.54
31-Aug-13,1681.55
31-Jul-13,1632.97
30-Jun-13,1685.73
31-May-13,1606.28
30-Apr-13,1630.74
31-Mar-13,1597.57
1-Mar-13,1569.19
1-Feb-13,1514.68
1-Jan-13,1498.11
1-Dec-12,1426.19
31-Oct-12,1416.18
30-Sep-12,1412.16
31-Aug-12,1440.67
31-Jul-12,1406.58
30-Jun-12,1379.32
31-May-12,1362.16
30-Apr-12,1310.33
31-Mar-12,1397.91
1-Mar-12,1408.47
1-Feb-12,1365.68
1-Jan-12,1312.41
1-Dec-11,1257.6
31-Oct-11,1246.96
30-Sep-11,1253.3
31-Aug-11,1131.42
31-Jul-11,1218.89
30-Jun-11,1292.28
31-May-11,1320.64
30-Apr-11,1345.2
31-Mar-11,1363.61
1-Mar-11,1325.83
1-Feb-11,1327.22
1-Jan-11,1286.12
1-Dec-10,1257.64
31-Oct-10,1180.55
30-Sep-10,1183.26
31-Aug-10,1141.2
31-Jul-10,1049.33
30-Jun-10,1101.6
31-May-10,1030.71
30-Apr-10,1089.41
31-Mar-10,1186.69
1-Mar-10,1169.43
1-Feb-10,1104.49
1-Jan-10,1073.87
1-Dec-09,1115.1
31-Oct-09,1095.63
30-Sep-09,1036.19
31-Aug-09,1057.08
31-Jul-09,1020.62
30-Jun-09,987.48
31-May-09,919.32
30-Apr-09,919.14
31-Mar-09,872.81
1-Mar-09,797.87
1-Feb-09,735.09
1-Jan-09,825.88
1-Dec-08,903.25
31-Oct-08,896.24
30-Sep-08,968.75
31-Aug-08,1166.36
31-Jul-08,1282.83
30-Jun-08,1267.38
31-May-08,1280
30-Apr-08,1400.38
31-Mar-08,1385.59
1-Mar-08,1322.7
1-Feb-08,1330.63
1-Jan-08,1378.55
1-Dec-07,1468.36
31-Oct-07,1481.14
30-Sep-07,1549.38
31-Aug-07,1526.75
31-Jul-07,1473.99
30-Jun-07,1455.27
31-May-07,1503.35
30-Apr-07,1530.62
31-Mar-07,1482.37
1-Mar-07,1420.86
1-Feb-07,1406.82
1-Jan-07,1438.24
1-Dec-06,1418.3
1-Nov-06,1400.63
30-Sep-06,1377.94
31-Aug-06,1335.85
31-Jul-06,1303.82
30-Jun-06,1276.66
31-May-06,1270.2
30-Apr-06,1270.09
1-Apr-06,1310.61
1-Mar-06,1294.87
1-Feb-06,1280.66
1-Jan-06,1280.08
1-Dec-05,1248.29
1-Nov-05,1249.48
30-Sep-05,1207.01
31-Aug-05,1228.81
31-Jul-05,1220.33
30-Jun-05,1234.18
31-May-05,1191.33
30-Apr-05,1191.5
1-Apr-05,1156.85
1-Mar-05,1180.59
1-Feb-05,1203.6
1-Jan-05,1181.27
1-Dec-04,1211.92
1-Nov-04,1173.82
30-Sep-04,1130.2
31-Aug-04,1114.58
31-Jul-04,1104.24
30-Jun-04,1101.72
31-May-04,1140.84
30-Apr-04,1120.68
1-Apr-04,1107.3
1-Mar-04,1126.21
1-Feb-04,1144.94
1-Jan-04,1131.13
1-Dec-03,1111.92
1-Nov-03,1058.2
30-Sep-03,1050.71
31-Aug-03,995.97
31-Jul-03,1008.01
30-Jun-03,990.31
31-May-03,974.5
30-Apr-03,963.59
1-Apr-03,916.92
1-Mar-03,848.18
1-Feb-03,841.15
1-Jan-03,855.7
1-Dec-02,879.82
1-Nov-02,936.31
30-Sep-02,885.76
31-Aug-02,815.28
31-Jul-02,916.07
30-Jun-02,911.62
31-May-02,989.82
30-Apr-02,1067.14
1-Apr-02,1076.92
1-Mar-02,1147.39
1-Feb-02,1106.73
1-Jan-02,1130.2
1-Dec-01,1148.08
1-Nov-01,1139.45
30-Sep-01,1059.78
31-Aug-01,1040.94
31-Jul-01,1133.58
30-Jun-01,1211.23
31-May-01,1224.38
30-Apr-01,1255.82
1-Apr-01,1249.46
1-Mar-01,1160.33
1-Feb-01,1239.94
1-Jan-01,1366.01
1-Dec-00,1320.28
1-Nov-00,1314.95
30-Sep-00,1429.4
31-Aug-00,1436.51
31-Jul-00,1517.68
30-Jun-00,1430.83
31-May-00,1454.6
30-Apr-00,1420.6
1-Apr-00,1452.43
1-Mar-00,1498.58
1-Feb-00,1366.42
1-Jan-00,1394.46
1-Dec-99,1469.25
1-Nov-99,1388.91
30-Sep-99,1362.93
31-Aug-99,1282.71
31-Jul-99,1320.41
30-Jun-99,1328.72
31-May-99,1372.71
30-Apr-99,1301.84
1-Apr-99,1335.18
1-Mar-99,1286.37
1-Feb-99,1238.33
1-Jan-99,1279.64
1-Dec-98,1229.23
1-Nov-98,1163.63
30-Sep-98,1098.67
31-Aug-98,1017.01
31-Jul-98,957.28
30-Jun-98,1120.67
31-May-98,1133.84
30-Apr-98,1090.82
1-Apr-98,1111.75
1-Mar-98,1101.75
1-Feb-98,1049.34
1-Jan-98,980.28
1-Dec-97,970.43
1-Nov-97,955.4
30-Sep-97,914.62
31-Aug-97,947.28
31-Jul-97,899.47
30-Jun-97,954.31
31-May-97,885.14
30-Apr-97,848.28
1-Apr-97,801.34
1-Mar-97,757.12
1-Feb-97,790.82
1-Jan-97,786.16
1-Dec-96,740.74
1-Nov-96,757.02
30-Sep-96,705.27
31-Aug-96,687.33
31-Jul-96,651.99
30-Jun-96,639.95
31-May-96,670.63
30-Apr-96,669.12
1-Apr-96,654.17
1-Mar-96,645.5
1-Feb-96,640.43
1-Jan-96,636.02
1-Dec-95,615.93
1-Nov-95,605.37
30-Sep-95,581.5
31-Aug-95,584.41
31-Jul-95,561.88
30-Jun-95,562.06
31-May-95,544.75
30-Apr-95,533.4
1-Apr-95,514.71
1-Mar-95,500.71
1-Feb-95,487.39
1-Jan-95,470.42
1-Dec-94,459.27
1-Nov-94,453.69
30-Sep-94,472.35
31-Aug-94,462.71
31-Jul-94,475.49
30-Jun-94,458.26
31-May-94,444.27
30-Apr-94,456.5
1-Apr-94,450.91
1-Mar-94,445.77
1-Feb-94,467.14
1-Jan-94,481.61
